Code;Site ID;Site;Region;ECM Category;Energy;Meter Category;State;Identification Date;Issue Identified;Corrective Action;ECM Creation Date;Estimated Consumtion kWh;Estimated Cost;Creation User;Blocked;Implemented;New;Realized;To be implemented;Updated;Last Save Date;Last Save Author;BMS;Behaviour;Maintenance;Refrigeration;Capital;Word Order Number;Work Complete;Under Contract;RMM Validated;Investment;Capital Investment;Type;Last Comment Date;Last Comment Author;Comments;Implementation Date;Type Code
041-43;41;Preston Riversway;North;BMS;Electricity;Car Park;Realized;21/05/2014 01:00:00;Car Park lighting and signs starts 1h before opening if needed and stops than 1h after closing. The store differs from the corporate standards and both morning and evening delays could be reduce to 30min.;Car park lighting and signs schedule should be adjusted to be switched off no later than 30 min after closing time and switched on 30 min before opening time if needed.;21/05/2014 10:00:00;3640;328;Laurent Crolard;;23/06/2014 11:30:00;21/05/2014 10:00:00;23/06/2014 12:00:00;21/05/2014 10:30:00;;2014/12/8 12:41;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;21/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;2014/12/6 1:00;mittons@elutions.com;12/06/2014 01:00:00|mittons@elutions.com|Times adjusted as requested;;
077-17;77;Winsford Wharton;Midlands;BMS;Electricity;Car Park;Realized;21/05/2014 01:00:00;The car park lighting is switched on at 6:00 on weekdays whereas the store opens at 08:00.;Correct time schedule is for the lights to be switched on 1h30 before the store opens, and switched off 1h30 after the store closes. ;21/05/2014 10:00:00;1561;140;Laurent Crolard;;27/01/2015 08:51:23;21/05/2014 10:00:00;27/01/2015 08:52:06;27/01/2015 08:51:04;2014/3/11 15:35;27/01/2015 08:52:06;Alexandre Gabert;21/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;2014/12/6 7:00;mittons@elutions.com;12/06/2014 07:00:00|mittons@elutions.com|BMS Times Adjusted|23/06/2014 07:00:00|elutions@elutions.com|Can't be seen at the moment|07/10/2014 21:02:40|Alexandre Gabert|Adjusted to new corporate standards. |03/11/2014 18:35:20|Ian Barraclough|Times and clock are set correctly - for lighting to come on at 05:30. According to Morrisons website, store opens at 07:00. Please confirm that this is now correct.|27/01/2015 10:51:03|Alexandre Gabert|This is correct now.;;
303-14;303;London Camden Town;South East;Refrigeration;Electricity;Shop Services;Realized;21/05/2014 01:00:00;Shop services 1&2 case lighting is not switched off every night during the week;Lighting schedule for cases should be homogenised to switch off every night syncing with opening times (7:40 - 23:20 on weekdays);21/05/2014 10:00:00;35360;3183;Florian Moreau;;23/10/2014 16:17:22;21/05/2014 10:00:00;31/10/2014 13:18:06;23/10/2014 16:16:50;29/08/2014 11:29:12;31/10/2014 13:18:06;Laurent CROLARD;;;;21/05/2014 10:00:00;;;;;;WITHOUT;;MANUAL;2014/4/8 16:59;Steve Ward;04/08/2014 16:59:12|Steve Ward|test|29/08/2014 11:29:11|Mark McCusker|Please check setting on JTL/CDK to confirm this is not a maintenance ECM.|25/09/2014 10:39:59|Alexandre Gabert|Checked on JTL: issue remaining in the settings for Wednesdays (05:30 switch on) and Sundays (switch off 18:00). Correct for other days.|09/10/2014 17:11:44|Susan North|Attended Engineer attended and checked settings and adjusted to store requirements;;
303-13;303;London Camden Town;South East;Behavioural;Electricity;Back of House;Realized;21/05/2014 01:00:00;Locally controlled lighting in the public toilets is being left on after store closes;Please ensure that all locally controlled lighting is switched off when not in use;21/05/2014 10:00:00;4375;394;Laurent Crolard;;2014/4/8 11:30;21/05/2014 10:00:00;2015/9/3 18:43;2014/4/8 10:30;;2015/9/3 18:43;Jiaying Zhang;;21/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;;;;2015/3/3 0:00;
303-12;303;London Camden Town;South East;Behavioural;Electricity;Food Preparation;Blocked;21/05/2014 00:00:00;The Bakery sometimes begin its activity 1h earlier;Schedule of operations should be followed every day to ensure all unnecessary equipment remains switched off during non operating hours;21/05/2014 10:00:00;4160;375;Laurent Crolard;2014/4/8 12:30;;21/05/2014 10:00:00;;;;2014/12/8 12:39;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;21/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;27/05/2014 16:18:00;;27/05/2014 16:18:00||We cannot ask store staff to change the times they perform tasks.;;
151-21;151;Leyland Olympian;North;BMS;Electricity;HVAC;Realized;21/05/2014 01:00:00;Plantroom HV Panel Leyland Olympian has sometimes a higher night demand. Night demand should stay at a minimal level.;Adjust and fine tune schedule of operation for this ventilation panel to reduce the demand during after hours and to maintain minimal night demand.;21/05/2014 10:00:00;10920;983;Laurent Crolard;;22/07/2014 11:30:00;21/05/2014 10:00:00;22/07/2014 12:00:00;21/05/2014 10:30:00;;2014/5/9 10:26;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;21/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;23/06/2014 01:00:00;mittons@elutions.com;23/06/2014 01:00:00|mittons@elutions.com|No changes made, BMS operation and settings to corporate standard. Prep area fans are powered from here and are controlled by local switches.|30/06/2014 01:00:00|elutions@elutions.com|are you sure that this is coming from local switches? These are feed from the main HV panel. |14/07/2014 01:00:00|mittons@elutions.com|Yes. These are not automated. |23/07/2014 01:00:00|elutions@elutions.com|This issue isn't noticed anymore. It will be recreated if the uneffecient behaviour come back. ;;
348-52;348;Chippenham Cepan Park North;South West;BMS;Electricity;Lighting;Realized;21/05/2014 01:00:00;Sales floor lighting part of the Security Lighting - DB SL does not reduce its demand during the night but remains at the day level.;The lighting schedule should be adjusted and sync with the opening hours.;21/05/2014 10:00:00;20020;1802;Laurent Crolard;;2014/9/6 11:30;21/05/2014 10:00:00;2014/9/6 12:00;21/05/2014 10:30:00;;2014/12/8 12:36;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;21/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
208-20;208;Buxton Bakewell Road;Midlands;BMS;Electricity;Lighting;Realized;21/05/2014 01:00:00;Sales Floor Lighting is sometimes switched on during the night;All unnecessary operations should be cancelled once the store is closed. All non essential lights should remains switched off at night.;21/05/2014 10:00:00;15912;1432;Laurent Crolard;;2014/2/6 11:30;21/05/2014 10:00:00;2014/2/6 12:00;21/05/2014 10:30:00;;2014/12/8 12:36;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;21/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
552-10;552;Coleshill;South West;BMS;Electricity;Lighting;Realized;21/05/2014 01:00:00;Sales Floor Lighting : Internal lighting is sometimes not entirely switched off at night. The night demand would be higher than usually. Only essential 1/3 lighting should remain lit at night.;All unnecessary lighting should be off during afterhours. Ensure the sales floor lighting is fully switched off at night.;21/05/2014 10:00:00;1560;141;Laurent Crolard;;23/06/2014 11:30:00;21/05/2014 10:00:00;23/06/2014 12:00:00;21/05/2014 10:30:00;;2014/12/8 12:36;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;21/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;19/04/2014 01:00:00;mittons@elutions.com;19/04/2014 01:00:00|mittons@elutions.com|No changes made, BMS lighting schedule is set correctly.|26/06/2014 01:00:00|elutions@elutions.com|In June, back to normal;;
303-11;303;London Camden Town;South East;BMS;Electricity;Lighting;Realized;19/05/2014 01:00:00;Sales Floor Lighting: At night, DB PL6 L1 & L2 does not switch off at night.;The schedule of operation should be adjusted and sync with the opening hours . All non essential light should be switched off at the closing time (23:15 on weekdays/ 16:15 on Sundays) and switched on only at 7:55 (9:25 on Sundays).;19/05/2014 10:00:00;109500;9855;Laurent Crolard;;26/05/2014 11:30:00;19/05/2014 10:00:00;26/05/2014 12:00:00;19/05/2014 10:30:00;;2014/12/8 12:39;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;19/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
